# Wall heat-flux
# Time          	patch           	min             	max             	integral        
1               	wall	5.07111152e+03	5.33740434e+03	2.76587374e+01
2               	wall	2.93770993e+03	3.49999157e+03	1.62458552e+01
3               	wall	1.98839574e+03	2.73580084e+03	1.11866075e+01
4               	wall	1.50744468e+03	2.38154058e+03	8.60511002e+00
5               	wall	1.22867552e+03	2.19985368e+03	7.09558494e+00
6               	wall	1.04918988e+03	2.09890298e+03	6.10898698e+00
7               	wall	9.24927830e+02	2.03943348e+03	5.40812433e+00
8               	wall	8.34769176e+02	2.00297190e+03	4.87933345e+00
9               	wall	7.67410112e+02	1.98004890e+03	4.46258469e+00
10              	wall	7.16204003e+02	1.96543268e+03	4.12337295e+00
11              	wall	6.70001821e+02	1.95605731e+03	3.84042886e+00
12              	wall	6.27142543e+02	1.95004794e+03	3.59986384e+00
13              	wall	5.91555696e+02	1.94622427e+03	3.39216438e+00
14              	wall	5.61962877e+02	1.94382539e+03	3.21056833e+00
15              	wall	5.37376951e+02	1.94235171e+03	3.05012349e+00
16              	wall	5.16789267e+02	1.94147326e+03	2.90710426e+00
17              	wall	4.94950272e+02	1.94097382e+03	2.77863965e+00
18              	wall	4.76081052e+02	1.94071099e+03	2.66247930e+00
19              	wall	4.59121712e+02	1.94059062e+03	2.55683629e+00
20              	wall	4.42602525e+02	1.94055152e+03	2.46026758e+00
21              	wall	4.26370539e+02	1.94055654e+03	2.37158848e+00
22              	wall	4.11242146e+02	1.94058269e+03	2.28981914e+00
23              	wall	3.97235480e+02	1.94061606e+03	2.21414510e+00
24              	wall	3.84174940e+02	1.94064845e+03	2.14388047e+00
25              	wall	3.72007145e+02	1.94067666e+03	2.07843927e+00
26              	wall	3.60646895e+02	1.94069959e+03	2.01731986e+00
27              	wall	3.49971116e+02	1.94071712e+03	1.96009300e+00
28              	wall	3.39953362e+02	1.94072933e+03	1.90638697e+00
29              	wall	3.30534257e+02	1.94073747e+03	1.85587540e+00
30              	wall	3.21626909e+02	1.94074258e+03	1.80827214e+00
31              	wall	3.13214756e+02	1.94074550e+03	1.76332701e+00
32              	wall	3.05256342e+02	1.94074651e+03	1.72081965e+00
33              	wall	2.97703296e+02	1.94074648e+03	1.68055229e+00
