# Wall heat-flux
# Time          	patch           	min             	max             	integral        
97              	wall	1.00090385e+02	1.39013021e+03	6.19588797e-01
98              	wall	9.89971290e+01	1.39013021e+03	6.14356485e-01
99              	wall	9.79243062e+01	1.39013021e+03	6.09237667e-01
100             	wall	9.68713512e+01	1.39013021e+03	6.04229212e-01
101             	wall	9.58373552e+01	1.39013021e+03	5.99328105e-01
102             	wall	9.48223853e+01	1.39013021e+03	5.94531441e-01
103             	wall	9.38253793e+01	1.39013021e+03	5.89836416e-01
104             	wall	9.28462627e+01	1.39013021e+03	5.85240325e-01
105             	wall	9.18841215e+01	1.39013021e+03	5.80740557e-01
106             	wall	9.09389475e+01	1.39013021e+03	5.76334592e-01
107             	wall	9.00099503e+01	1.39013021e+03	5.72019996e-01
108             	wall	8.90970015e+01	1.39013021e+03	5.67794417e-01
109             	wall	8.81993358e+01	1.39013021e+03	5.63655585e-01
110             	wall	8.73168477e+01	1.39013021e+03	5.59601304e-01
111             	wall	8.64490937e+01	1.39013021e+03	5.55629450e-01
112             	wall	8.55954693e+01	1.39013021e+03	5.51737970e-01
113             	wall	8.47559993e+01	1.39013021e+03	5.47924880e-01
114             	wall	8.39298920e+01	1.39013021e+03	5.44188256e-01
115             	wall	8.31171547e+01	1.39013022e+03	5.40526239e-01
116             	wall	8.23173959e+01	1.39013022e+03	5.36937027e-01
117             	wall	8.15300931e+01	1.39013022e+03	5.33418878e-01
118             	wall	8.07551764e+01	1.39013022e+03	5.29970103e-01
119             	wall	7.99922663e+01	1.39013022e+03	5.26589066e-01
120             	wall	7.92409536e+01	1.39013022e+03	5.23274180e-01
121             	wall	7.85010835e+01	1.39013022e+03	5.20023911e-01
122             	wall	7.77724480e+01	1.39013022e+03	5.16836767e-01
123             	wall	7.70546729e+01	1.39013022e+03	5.13711302e-01
124             	wall	7.63474328e+01	1.39013022e+03	5.10646118e-01
125             	wall	7.56506543e+01	1.39013022e+03	5.07639856e-01
126             	wall	7.49639883e+01	1.39013022e+03	5.04691196e-01
127             	wall	7.42872377e+01	1.39013022e+03	5.01798855e-01
128             	wall	7.36200978e+01	1.39013022e+03	4.98961593e-01
129             	wall	7.29624601e+01	1.39013022e+03	4.96178203e-01
130             	wall	7.23140480e+01	1.39013022e+03	4.93447513e-01
131             	wall	7.16747211e+01	1.39013022e+03	4.90768385e-01
132             	wall	7.10442123e+01	1.39013022e+03	4.88139732e-01
133             	wall	7.04223530e+01	1.39013022e+03	4.85560448e-01
134             	wall	6.98089182e+01	1.39013022e+03	4.83029496e-01
135             	wall	6.92037088e+01	1.39013022e+03	4.80545865e-01
136             	wall	6.86066475e+01	1.39013022e+03	4.78108569e-01
137             	wall	6.80174794e+01	1.39013022e+03	4.75716652e-01
138             	wall	6.74360847e+01	1.39013022e+03	4.73369179e-01
139             	wall	6.68622394e+01	1.39013022e+03	4.71065240e-01
140             	wall	6.62958635e+01	1.39013022e+03	4.68803958e-01
141             	wall	6.57367282e+01	1.39013023e+03	4.66584466e-01
142             	wall	6.51847279e+01	1.39013023e+03	4.64405933e-01
143             	wall	6.46396566e+01	1.39013023e+03	4.62267542e-01
144             	wall	6.41014604e+01	1.39013023e+03	4.60168508e-01
145             	wall	6.35699428e+01	1.39013023e+03	4.58108044e-01
146             	wall	6.30449905e+01	1.39013023e+03	4.56085407e-01
147             	wall	6.25264607e+01	1.39013023e+03	4.54099868e-01
