# Wall heat-flux
# Time          	patch           	min             	max             	integral        
1               	wall	1.01417953e+04	1.01592028e+04	5.52986354e+01
2               	wall	7.35915665e+03	8.55947259e+03	4.01674565e+01
3               	wall	5.80486820e+03	8.14488071e+03	3.17273227e+01
4               	wall	4.86950130e+03	7.94022791e+03	2.66689223e+01
5               	wall	4.31886248e+03	7.83127595e+03	2.36780724e+01
6               	wall	3.96284780e+03	7.76384290e+03	2.17563173e+01
7               	wall	3.71261609e+03	7.72677509e+03	2.04040710e+01
8               	wall	3.52793476e+03	7.68487297e+03	1.94457327e+01
9               	wall	3.39541692e+03	7.68293841e+03	1.86925402e+01
10              	wall	3.29069002e+03	7.65902305e+03	1.81823744e+01
11              	wall	3.20956823e+03	7.67852172e+03	1.77033861e+01
12              	wall	3.14887715e+03	7.65465172e+03	1.73903570e+01
13              	wall	3.08313830e+03	7.67084681e+03	1.70453721e+01
14              	wall	3.04929698e+03	7.65342658e+03	1.68259497e+01
15              	wall	2.99500616e+03	7.66326896e+03	1.65959820e+01
16              	wall	2.96820497e+03	7.65958326e+03	1.64080431e+01
17              	wall	2.93383536e+03	7.65960954e+03	1.62505535e+01
18              	wall	2.90653474e+03	7.66150529e+03	1.60911229e+01
19              	wall	2.88856032e+03	7.65840903e+03	1.59670226e+01
20              	wall	2.85906922e+03	7.66017343e+03	1.58438628e+01
21              	wall	2.84243929e+03	7.65931468e+03	1.57326728e+01
22              	wall	2.82244222e+03	7.65990010e+03	1.56316339e+01
23              	wall	2.80277576e+03	7.65962349e+03	1.55332419e+01
24              	wall	2.78702025e+03	7.65977917e+03	1.54404967e+01
25              	wall	2.76939738e+03	7.65945855e+03	1.53542179e+01
26              	wall	2.75349179e+03	7.65935130e+03	1.52701883e+01
27              	wall	2.73753410e+03	7.65971206e+03	1.51895987e+01
28              	wall	2.72222891e+03	7.65929900e+03	1.51135401e+01
29              	wall	2.70781133e+03	7.65953211e+03	1.50378488e+01
30              	wall	2.69326173e+03	7.65947458e+03	1.49657175e+01
31              	wall	2.67957929e+03	7.65926360e+03	1.48961749e+01
32              	wall	2.66616200e+03	7.65942383e+03	1.48273655e+01
33              	wall	2.65292990e+03	7.65932138e+03	1.47616104e+01
34              	wall	2.64021596e+03	7.65925983e+03	1.46972124e+01
35              	wall	2.62779566e+03	7.65933538e+03	1.46340221e+01
36              	wall	2.61551749e+03	7.65922039e+03	1.45732025e+01
37              	wall	2.60374142e+03	7.65920820e+03	1.45133465e+01
38              	wall	2.59212128e+03	7.65922956e+03	1.44549999e+01
39              	wall	2.58065141e+03	7.65915003e+03	1.43983648e+01
40              	wall	2.56967352e+03	7.65916450e+03	1.43426058e+01
41              	wall	2.55869360e+03	7.65914517e+03	1.42883939e+01
42              	wall	2.54808016e+03	7.65909417e+03	1.42354377e+01
43              	wall	2.53771184e+03	7.65911225e+03	1.41834490e+01
44              	wall	2.52741359e+03	7.65907726e+03	1.41328379e+01
45              	wall	2.51752458e+03	7.65905665e+03	1.40831984e+01
46              	wall	2.50764085e+03	7.65905663e+03	1.40346115e+01
47              	wall	2.49805227e+03	7.65902239e+03	1.39871438e+01
48              	wall	2.48863231e+03	7.65901669e+03	1.39403676e+01
49              	wall	2.47929394e+03	7.65900420e+03	1.38942860e+01
50              	wall	2.47020204e+03	7.65898507e+03	1.38487038e+01
51              	wall	2.46106765e+03	7.65898161e+03	1.38035955e+01
52              	wall	2.45208427e+03	7.65896663e+03	1.37591284e+01
53              	wall	2.44323094e+03	7.65895548e+03	1.37152953e+01
54              	wall	2.43436672e+03	7.65894783e+03	1.36721760e+01
55              	wall	2.42570959e+03	7.65893550e+03	1.36298274e+01
56              	wall	2.41716518e+03	7.65892694e+03	1.35882411e+01
57              	wall	2.40874294e+03	7.65891861e+03	1.35474542e+01
58              	wall	2.40054815e+03	7.65890996e+03	1.35074597e+01
59              	wall	2.39239215e+03	7.65890269e+03	1.34682352e+01
60              	wall	2.38445030e+03	7.65889490e+03	1.34297418e+01
61              	wall	2.37664428e+03	7.65888751e+03	1.33919323e+01
62              	wall	2.36891985e+03	7.65888115e+03	1.33547714e+01
63              	wall	2.36137442e+03	7.65887554e+03	1.33182356e+01
64              	wall	2.35388782e+03	7.65886981e+03	1.32823114e+01
65              	wall	2.34652356e+03	7.65886488e+03	1.32469880e+01
66              	wall	2.33932328e+03	7.65886017e+03	1.32122622e+01
67              	wall	2.33214309e+03	7.65885528e+03	1.31781300e+01
68              	wall	2.32512343e+03	7.65885120e+03	1.31445849e+01
69              	wall	2.31823238e+03	7.65884712e+03	1.31116238e+01
70              	wall	2.31138940e+03	7.65884347e+03	1.30792366e+01
71              	wall	2.30470128e+03	7.65884016e+03	1.30474158e+01
72              	wall	2.29811472e+03	7.65883685e+03	1.30161527e+01
73              	wall	2.29159813e+03	7.65883402e+03	1.29854350e+01
74              	wall	2.28522475e+03	7.65883139e+03	1.29552477e+01
75              	wall	2.27893544e+03	7.65882893e+03	1.29255668e+01
76              	wall	2.27272068e+03	7.65882682e+03	1.28963672e+01
77              	wall	2.26663160e+03	7.65882480e+03	1.28676265e+01
78              	wall	2.26061254e+03	7.65882311e+03	1.28393238e+01
79              	wall	2.25465183e+03	7.65882163e+03	1.28114439e+01
80              	wall	2.24879594e+03	7.65882025e+03	1.27839748e+01
81              	wall	2.24301496e+03	7.65881906e+03	1.27569073e+01
82              	wall	2.23727044e+03	7.65881796e+03	1.27302347e+01
83              	wall	2.23162113e+03	7.65881707e+03	1.27039507e+01
84              	wall	2.22606184e+03	7.65881633e+03	1.26780499e+01
85              	wall	2.22052571e+03	7.65881570e+03	1.26525272e+01
86              	wall	2.21507413e+03	7.65881522e+03	1.26273770e+01
87              	wall	2.20970784e+03	7.65881483e+03	1.26025944e+01
88              	wall	2.20439802e+03	7.65881458e+03	1.25781733e+01
89              	wall	2.19913602e+03	7.65881445e+03	1.25541082e+01
90              	wall	2.19395583e+03	7.65881442e+03	1.25303929e+01
91              	wall	2.18885077e+03	7.65881450e+03	1.25070201e+01
92              	wall	2.18378677e+03	7.65881462e+03	1.24839807e+01
93              	wall	2.17878087e+03	7.65881480e+03	1.24612638e+01
94              	wall	2.17384321e+03	7.65881507e+03	1.24388579e+01
95              	wall	2.16896965e+03	7.65881545e+03	1.24167517e+01
96              	wall	2.16413768e+03	7.65881595e+03	1.23949350e+01
97              	wall	2.15934710e+03	7.65881653e+03	1.23733989e+01
98              	wall	2.15461284e+03	7.65881718e+03	1.23521364e+01
99              	wall	2.14992914e+03	7.65881789e+03	1.23311413e+01
100             	wall	2.14529442e+03	7.65881867e+03	1.23104089e+01
101             	wall	2.14069420e+03	7.65881951e+03	1.22899350e+01
102             	wall	2.13613155e+03	7.65882042e+03	1.22697157e+01
103             	wall	2.13161657e+03	7.65882138e+03	1.22497478e+01
104             	wall	2.12714514e+03	7.65882238e+03	1.22300280e+01
105             	wall	2.12271672e+03	7.65882344e+03	1.22105532e+01
