"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.005285,3.0007,-5.2487e-20,1.6979,1,0,22,-36.539,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.069264,22.01,-36.47,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.13853,22.02,-36.401,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.20779,22.03,-36.333,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.27706,22.04,-36.264,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.34632,22.05,-36.196,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.41559,22.06,-36.127,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.48485,22.07,-36.059,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.55411,22.08,-35.99,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.62338,22.09,-35.922,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.69264,22.1,-35.853,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.76191,22.11,-35.785,0
0.005285,3.0007,-5.2487e-20,1.6979,1,0.83117,22.12,-35.716,0
0.014672,3.0141,-5.3679e-20,1.6584,1,0.90043,22.13,-35.648,0
0.014672,3.0141,-5.3679e-20,1.6584,1,0.9697,22.14,-35.579,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.039,22.15,-35.51,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.1082,22.16,-35.442,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.1775,22.17,-35.373,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.2468,22.18,-35.305,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.316,22.19,-35.236,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.3853,22.2,-35.168,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.4545,22.21,-35.099,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.5238,22.22,-35.031,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.5931,22.23,-34.962,0
0.0062753,3.0134,-5.3978e-20,1.6521,1,1.6623,22.24,-34.894,0
0.00033056,3.0335,0,1.5918,1,1.7316,22.25,-34.825,0
0.00033056,3.0335,0,1.5918,1,1.8009,22.26,-34.757,0
0.00033056,3.0335,0,1.5918,1,1.8701,22.27,-34.688,0
0.00033056,3.0335,0,1.5918,1,1.9394,22.28,-34.619,0
0.00033056,3.0335,0,1.5918,1,2.0087,22.29,-34.551,0
0.00033056,3.0335,0,1.5918,1,2.0779,22.3,-34.482,0
0.00033056,3.0335,0,1.5918,1,2.1472,22.31,-34.414,0
0.00033056,3.0335,0,1.5918,1,2.2165,22.32,-34.345,0
0.00033056,3.0335,0,1.5918,1,2.2857,22.33,-34.277,0
0.00033056,3.0335,0,1.5918,1,2.355,22.34,-34.208,0
0.00033056,3.0335,0,1.5918,1,2.4242,22.35,-34.14,0
0.00033056,3.0335,0,1.5918,1,2.4935,22.36,-34.071,0
0.00033056,3.0335,0,1.5918,1,2.5628,22.37,-34.003,0
0.0070523,3.0558,2.542e-20,1.5166,1,2.632,22.38,-33.934,0
0.0070523,3.0558,2.542e-20,1.5166,1,2.7013,22.39,-33.866,0
0.0070523,3.0558,2.542e-20,1.5166,1,2.7706,22.4,-33.797,0
0.0070523,3.0558,2.542e-20,1.5166,1,2.8398,22.41,-33.728,0
0.0070523,3.0558,2.542e-20,1.5166,1,2.9091,22.42,-33.66,0
0.0070523,3.0558,2.542e-20,1.5166,1,2.9784,22.43,-33.591,0
0.0070523,3.0558,2.542e-20,1.5166,1,3.0476,22.44,-33.523,0
0.0070523,3.0558,2.542e-20,1.5166,1,3.1169,22.45,-33.454,0
0.0070523,3.0558,2.542e-20,1.5166,1,3.1862,22.46,-33.386,0
0.0070523,3.0558,2.542e-20,1.5166,1,3.2554,22.47,-33.317,0
0.0070523,3.0558,2.542e-20,1.5166,1,3.3247,22.48,-33.249,0
0.0070523,3.0558,2.542e-20,1.5166,1,3.3939,22.49,-33.18,0
0.0070523,3.0558,2.542e-20,1.5166,1,3.4632,22.5,-33.112,0
-0.00072627,3.0839,-1.87e-19,1.4376,1,3.5325,22.51,-33.043,0
-0.00072627,3.0839,-1.87e-19,1.4376,1,3.6017,22.52,-32.974,0
-0.00072627,3.0839,-1.87e-19,1.4376,1,3.671,22.53,-32.906,0
-0.00072627,3.0839,-1.87e-19,1.4376,1,3.7403,22.54,-32.837,0
-0.00072627,3.0839,-1.87e-19,1.4376,1,3.8095,22.55,-32.769,0
-0.00072627,3.0839,-1.87e-19,1.4376,1,3.8788,22.56,-32.7,0
-0.012497,3.0883,0,1.4279,1,3.9481,22.57,-32.632,0
-0.012497,3.0883,0,1.4279,1,4.0173,22.58,-32.563,0
-0.012497,3.0883,0,1.4279,1,4.0866,22.59,-32.495,0
-0.012497,3.0883,0,1.4279,1,4.1558,22.6,-32.426,0
-0.012497,3.0883,0,1.4279,1,4.2251,22.61,-32.358,0
-0.012497,3.0883,0,1.4279,1,4.2944,22.62,-32.289,0
-0.012497,3.0883,0,1.4279,1,4.3636,22.63,-32.221,0
-0.0033344,3.1096,0,1.3473,1,4.4329,22.64,-32.152,0
-0.0033344,3.1096,0,1.3473,1,4.5022,22.65,-32.083,0
-0.0033344,3.1096,0,1.3473,1,4.5714,22.66,-32.015,0
-0.0033344,3.1096,0,1.3473,1,4.6407,22.67,-31.946,0
-0.0033344,3.1096,0,1.3473,1,4.71,22.68,-31.878,0
-0.0033344,3.1096,0,1.3473,1,4.7792,22.69,-31.809,0
-0.0033344,3.1096,0,1.3473,1,4.8485,22.7,-31.741,0
-0.0033344,3.1096,0,1.3473,1,4.9178,22.71,-31.672,0
-0.0033344,3.1096,0,1.3473,1,4.987,22.72,-31.604,0
-0.0033344,3.1096,0,1.3473,1,5.0563,22.73,-31.535,0
-0.0033344,3.1096,0,1.3473,1,5.1255,22.74,-31.467,0
-0.0033344,3.1096,0,1.3473,1,5.1948,22.75,-31.398,0
-0.0033344,3.1096,0,1.3473,1,5.2641,22.76,-31.33,0
-0.0033344,3.1096,0,1.3473,1,5.3333,22.77,-31.261,0
-0.013748,3.139,2.0887e-20,1.2706,1,5.4026,22.78,-31.192,0
-0.013748,3.139,2.0887e-20,1.2706,1,5.4719,22.79,-31.124,0
-0.013748,3.139,2.0887e-20,1.2706,1,5.5411,22.8,-31.055,0
-0.013748,3.139,2.0887e-20,1.2706,1,5.6104,22.81,-30.987,0
-0.013748,3.139,2.0887e-20,1.2706,1,5.6797,22.82,-30.918,0
-0.013748,3.139,2.0887e-20,1.2706,1,5.7489,22.83,-30.85,0
-0.013748,3.139,2.0887e-20,1.2706,1,5.8182,22.84,-30.781,0
-0.013748,3.139,2.0887e-20,1.2706,1,5.8875,22.85,-30.713,0
