# Wall heat-flux
# Time          	patch           	min             	max             	integral        
1               	wall	8.49053550e+03	8.57325245e+03	4.62972433e+01
2               	wall	4.48522631e+03	5.22070250e+03	2.44738432e+01
3               	wall	2.75743987e+03	3.99783469e+03	1.53512373e+01
4               	wall	1.96830390e+03	3.48349813e+03	1.11162498e+01
5               	wall	1.56432198e+03	3.24978259e+03	8.88115694e+00
6               	wall	1.33244812e+03	3.13557961e+03	7.54469518e+00
7               	wall	1.18195628e+03	3.07614245e+03	6.66038869e+00
8               	wall	1.06533887e+03	3.04364222e+03	6.02837507e+00
9               	wall	9.79352871e+02	3.02517966e+03	5.54978828e+00
10              	wall	9.14197853e+02	3.01435627e+03	5.17150864e+00
11              	wall	8.64016270e+02	3.00787307e+03	4.86267095e+00
12              	wall	8.19882544e+02	3.00393336e+03	4.60420050e+00
13              	wall	7.82124112e+02	3.00149546e+03	4.38366765e+00
14              	wall	7.47785254e+02	2.99996373e+03	4.19257563e+00
15              	wall	7.17358376e+02	2.99899661e+03	4.02489120e+00
16              	wall	6.90468545e+02	2.99838347e+03	3.87620529e+00
17              	wall	6.65985779e+02	2.99798898e+03	3.74320654e+00
18              	wall	6.44193500e+02	2.99772951e+03	3.62334684e+00
19              	wall	6.24112200e+02	2.99755539e+03	3.51462645e+00
20              	wall	6.06016570e+02	2.99743625e+03	3.41545159e+00
21              	wall	5.89202704e+02	2.99735190e+03	3.32453390e+00
22              	wall	5.73898702e+02	2.99728942e+03	3.24081741e+00
23              	wall	5.59586012e+02	2.99724170e+03	3.16342614e+00
24              	wall	5.46464093e+02	2.99720474e+03	3.09162696e+00
25              	wall	5.34112064e+02	2.99717553e+03	3.02480147e+00
26              	wall	5.22740753e+02	2.99715193e+03	2.96242380e+00
27              	wall	5.11936155e+02	2.99713249e+03	2.90404344e+00
28              	wall	5.02000455e+02	2.99711659e+03	2.84927230e+00
29              	wall	4.92449910e+02	2.99710365e+03	2.79776977e+00
30              	wall	4.83612268e+02	2.99709307e+03	2.74923459e+00
31              	wall	4.75183769e+02	2.99708437e+03	2.70340615e+00
32              	wall	4.67259320e+02	2.99707720e+03	2.66005929e+00
33              	wall	4.59786921e+02	2.99707130e+03	2.61899789e+00
34              	wall	4.52627516e+02	2.99706641e+03	2.58004948e+00
35              	wall	4.45910003e+02	2.99706232e+03	2.54306113e+00
36              	wall	4.39475202e+02	2.99705887e+03	2.50789623e+00
37              	wall	4.33347060e+02	2.99705595e+03	2.47443210e+00
38              	wall	4.27544441e+02	2.99705347e+03	2.44255798e+00
39              	wall	4.21962956e+02	2.99705135e+03	2.41217342e+00
40              	wall	4.16627639e+02	2.99704951e+03	2.38318686e+00
41              	wall	4.11555092e+02	2.99704792e+03	2.35551451e+00
42              	wall	4.06692542e+02	2.99704653e+03	2.32907937e+00
43              	wall	4.02009541e+02	2.99704532e+03	2.30381042e+00
44              	wall	3.97543062e+02	2.99704425e+03	2.27964197e+00
45              	wall	3.93273118e+02	2.99704330e+03	2.25651300e+00
46              	wall	3.89154266e+02	2.99704245e+03	2.23436671e+00
47              	wall	3.85200015e+02	2.99704170e+03	2.21315004e+00
48              	wall	3.81411005e+02	2.99704103e+03	2.19281327e+00
49              	wall	3.77777717e+02	2.99704043e+03	2.17330956e+00
50              	wall	3.74269969e+02	2.99703989e+03	2.15459471e+00
51              	wall	3.70888628e+02	2.99703939e+03	2.13662687e+00
52              	wall	3.67641495e+02	2.99703895e+03	2.11936652e+00
53              	wall	3.64517005e+02	2.99703855e+03	2.10277631e+00
54              	wall	3.61509177e+02	2.99703819e+03	2.08682102e+00
55              	wall	3.58588811e+02	2.99703787e+03	2.07146745e+00
56              	wall	3.55774188e+02	2.99703757e+03	2.05668428e+00
57              	wall	3.53060477e+02	2.99703730e+03	2.04244204e+00
58              	wall	3.50439111e+02	2.99703706e+03	2.02871292e+00
59              	wall	3.47906257e+02	2.99703683e+03	2.01547074e+00
60              	wall	3.45443911e+02	2.99703663e+03	2.00269079e+00
61              	wall	3.43060411e+02	2.99703645e+03	1.99034980e+00
62              	wall	3.40754244e+02	2.99703628e+03	1.97842581e+00
63              	wall	3.38519930e+02	2.99703612e+03	1.96689812e+00
64              	wall	3.36354840e+02	2.99703598e+03	1.95574722e+00
65              	wall	3.34253668e+02	2.99703585e+03	1.94495469e+00
66              	wall	3.32206144e+02	2.99703574e+03	1.93450318e+00
67              	wall	3.30219473e+02	2.99703563e+03	1.92437630e+00
68              	wall	3.28289367e+02	2.99703553e+03	1.91455864e+00
69              	wall	3.26413645e+02	2.99703544e+03	1.90503563e+00
