# Wall heat-flux
# Time          	patch           	min             	max             	integral        
1               	wall	9.76567152e+03	9.80347622e+03	5.32484181e+01
2               	wall	5.86050259e+03	7.15627823e+03	3.19925725e+01
3               	wall	3.96064728e+03	6.31157255e+03	2.16578936e+01
4               	wall	3.01746331e+03	5.92644303e+03	1.65289044e+01
5               	wall	2.50963912e+03	5.73768579e+03	1.37718032e+01
6               	wall	2.20352141e+03	5.63843893e+03	1.21179232e+01
7               	wall	2.00051226e+03	5.58466106e+03	1.10248823e+01
8               	wall	1.85618972e+03	5.55364008e+03	1.02458660e+01
9               	wall	1.74647937e+03	5.53622591e+03	9.65802725e+00
10              	wall	1.66030646e+03	5.52508772e+03	9.19541107e+00
11              	wall	1.59110936e+03	5.51785554e+03	8.82031978e+00
12              	wall	1.53297515e+03	5.51301002e+03	8.50920940e+00
13              	wall	1.48450130e+03	5.50967109e+03	8.24647620e+00
14              	wall	1.44231254e+03	5.50724626e+03	8.02131660e+00
15              	wall	1.40626500e+03	5.50540473e+03	7.82603374e+00
16              	wall	1.37418610e+03	5.50400551e+03	7.65493378e+00
17              	wall	1.34619000e+03	5.50291267e+03	7.50366577e+00
18              	wall	1.32092361e+03	5.50203423e+03	7.36885045e+00
19              	wall	1.29834712e+03	5.50131210e+03	7.24783125e+00
20              	wall	1.27790144e+03	5.50071603e+03	7.13848630e+00
21              	wall	1.25921789e+03	5.50021972e+03	7.03910341e+00
22              	wall	1.24232318e+03	5.49980019e+03	6.94828391e+00
23              	wall	1.22650081e+03	5.49944205e+03	6.86488551e+00
24              	wall	1.21213171e+03	5.49913609e+03	6.78796420e+00
25              	wall	1.19863682e+03	5.49887517e+03	6.71673208e+00
26              	wall	1.18614078e+03	5.49865138e+03	6.65052718e+00
27              	wall	1.17452767e+03	5.49845803e+03	6.58878885e+00
28              	wall	1.16351374e+03	5.49829050e+03	6.53103873e+00
29              	wall	1.15332316e+03	5.49814550e+03	6.47686528e+00
30              	wall	1.14358333e+03	5.49802007e+03	6.42591125e+00
31              	wall	1.13445605e+03	5.49791124e+03	6.37786481e+00
32              	wall	1.12586385e+03	5.49781632e+03	6.33245321e+00
33              	wall	1.11759200e+03	5.49773328e+03	6.28943669e+00
34              	wall	1.10985227e+03	5.49766052e+03	6.24860436e+00
35              	wall	1.10239874e+03	5.49759670e+03	6.20976971e+00
36              	wall	1.09529588e+03	5.49754078e+03	6.17276691e+00
37              	wall	1.08860004e+03	5.49749164e+03	6.13744779e+00
38              	wall	1.08203570e+03	5.49744829e+03	6.10367977e+00
39              	wall	1.07583040e+03	5.49740989e+03	6.07134386e+00
40              	wall	1.06987994e+03	5.49737584e+03	6.04033313e+00
41              	wall	1.06409044e+03	5.49734563e+03	6.01055126e+00
42              	wall	1.05858504e+03	5.49731883e+03	5.98191120e+00
43              	wall	1.05323265e+03	5.49729505e+03	5.95433408e+00
44              	wall	1.04805239e+03	5.49727387e+03	5.92774827e+00
45              	wall	1.04310472e+03	5.49725494e+03	5.90208873e+00
46              	wall	1.03824387e+03	5.49723799e+03	5.87729627e+00
47              	wall	1.03355957e+03	5.49722280e+03	5.85331691e+00
48              	wall	1.02906573e+03	5.49720917e+03	5.83010134e+00
49              	wall	1.02461543e+03	5.49719696e+03	5.80760439e+00
50              	wall	1.02033313e+03	5.49718600e+03	5.78578453e+00
51              	wall	1.01621031e+03	5.49717617e+03	5.76460357e+00
52              	wall	1.01210888e+03	5.49716729e+03	5.74402628e+00
53              	wall	1.00816229e+03	5.49715927e+03	5.72402021e+00
54              	wall	1.00434590e+03	5.49715203e+03	5.70455534e+00
55              	wall	1.00054987e+03	5.49714548e+03	5.68560390e+00
56              	wall	9.96886105e+02	5.49713955e+03	5.66714014e+00
57              	wall	9.93336595e+02	5.49713419e+03	5.64914017e+00
58              	wall	9.89798831e+02	5.49712934e+03	5.63158170e+00
59              	wall	9.86375267e+02	5.49712496e+03	5.61444397e+00
60              	wall	9.83053650e+02	5.49712098e+03	5.59770759e+00
61              	wall	9.79743184e+02	5.49711736e+03	5.58135444e+00
62              	wall	9.76525622e+02	5.49711407e+03	5.56536755e+00
63              	wall	9.73397991e+02	5.49711108e+03	5.54973103e+00
64              	wall	9.70292898e+02	5.49710837e+03	5.53442994e+00
65              	wall	9.67255616e+02	5.49710590e+03	5.51945029e+00
66              	wall	9.64297818e+02	5.49710365e+03	5.50477892e+00
67              	wall	9.61377647e+02	5.49710161e+03	5.49040342e+00
68              	wall	9.58496221e+02	5.49709977e+03	5.47631212e+00
69              	wall	9.55685467e+02	5.49709809e+03	5.46249398e+00
70              	wall	9.52932935e+02	5.49709657e+03	5.44893859e+00
71              	wall	9.50187899e+02	5.49709518e+03	5.43563612e+00
72              	wall	9.47506435e+02	5.49709393e+03	5.42257726e+00
73              	wall	9.44882823e+02	5.49709280e+03	5.40975321e+00
74              	wall	9.42282618e+02	5.49709177e+03	5.39715562e+00
75              	wall	9.39715950e+02	5.49709085e+03	5.38477657e+00
76              	wall	9.37201983e+02	5.49709001e+03	5.37260856e+00
77              	wall	9.34736738e+02	5.49708925e+03	5.36064447e+00
78              	wall	9.32277052e+02	5.49708857e+03	5.34887756e+00
79              	wall	9.29860138e+02	5.49708797e+03	5.33730141e+00
80              	wall	9.27487261e+02	5.49708743e+03	5.32590991e+00
81              	wall	9.25154052e+02	5.49708695e+03	5.31469727e+00
82              	wall	9.22824158e+02	5.49708653e+03	5.30365797e+00
83              	wall	9.20533630e+02	5.49708616e+03	5.29278676e+00
84              	wall	9.18279862e+02	5.49708584e+03	5.28207861e+00
85              	wall	9.16060670e+02	5.49708557e+03	5.27152876e+00
86              	wall	9.13851255e+02	5.49708534e+03	5.26113267e+00
87              	wall	9.11668335e+02	5.49708514e+03	5.25088597e+00
88              	wall	9.09518447e+02	5.49708498e+03	5.24078451e+00
89              	wall	9.07397812e+02	5.49708485e+03	5.23082433e+00
90              	wall	9.05300976e+02	5.49708474e+03	5.22100167e+00
