"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0098136,3.2399,-1.1193e-20,1.4078,1,5.1948,22.75,-31.398,0
-0.010087,3.2433,-1.3861e-20,1.3971,1,5.2641,22.76,-31.33,0
-0.010351,3.2467,-1.7319e-20,1.3865,1,5.3333,22.77,-31.261,0
-0.010563,3.2501,-9.1718e-21,1.3761,1,5.4026,22.78,-31.192,0
-0.010752,3.2534,1.5737e-21,1.3658,1,5.4719,22.79,-31.124,0
-0.010931,3.2568,1.1666e-20,1.3556,1,5.5411,22.8,-31.055,0
-0.011099,3.2601,2.1107e-20,1.3454,1,5.6104,22.81,-30.987,0
-0.011257,3.2634,2.9898e-20,1.3351,1,5.6797,22.82,-30.918,0
-0.011404,3.2668,3.804e-20,1.3249,1,5.7489,22.83,-30.85,0
-0.01154,3.2701,4.5535e-20,1.3147,1,5.8182,22.84,-30.781,0
-0.011654,3.2732,3.7205e-20,1.3051,1,5.8875,22.85,-30.713,0
-0.011758,3.2764,2.7502e-20,1.2955,1,5.9567,22.86,-30.644,0
-0.011852,3.2795,1.7218e-20,1.2859,1,6.026,22.87,-30.576,0
-0.011937,3.2826,6.3533e-21,1.2763,1,6.0952,22.88,-30.507,0
-0.012011,3.2857,-5.0918e-21,1.2668,1,6.1645,22.89,-30.439,0
-0.012076,3.2888,-1.7116e-20,1.2572,1,6.2338,22.9,-30.37,0
-0.01213,3.2919,-2.921e-20,1.2477,1,6.303,22.91,-30.301,0
-0.012153,3.2948,-3.2937e-20,1.2389,1,6.3723,22.92,-30.233,0
-0.012168,3.2977,-3.6036e-20,1.2301,1,6.4416,22.93,-30.164,0
-0.012173,3.3006,-3.8509e-20,1.2212,1,6.5108,22.94,-30.096,0
-0.01217,3.3034,-4.0357e-20,1.2124,1,6.5801,22.95,-30.027,0
-0.012158,3.3063,-4.1581e-20,1.2036,1,6.6494,22.96,-29.959,0
-0.012137,3.3092,-4.2182e-20,1.1948,1,6.7186,22.97,-29.89,0
-0.012107,3.312,-4.1623e-20,1.1861,1,6.7879,22.98,-29.822,0
-0.012065,3.3148,-3.5744e-20,1.1779,1,6.8572,22.99,-29.753,0
-0.012016,3.3176,-2.9955e-20,1.1698,1,6.9264,23,-29.685,0
-0.011959,3.3204,-2.4256e-20,1.1617,1,6.9957,23.01,-29.616,0
-0.011896,3.3231,-1.8647e-20,1.1536,1,7.0649,23.02,-29.548,0
-0.011826,3.3259,-1.3128e-20,1.1455,1,7.1342,23.03,-29.479,0
-0.011749,3.3286,-7.6983e-21,1.1374,1,7.2035,23.04,-29.41,0
-0.011664,3.3314,-2.5565e-21,1.1294,1,7.2727,23.05,-29.342,0
-0.011559,3.334,-5.2304e-22,1.1219,1,7.342,23.06,-29.273,0
-0.011448,3.3365,2.0086e-21,1.1144,1,7.4113,23.07,-29.205,0
-0.011331,3.3391,5.0375e-21,1.1069,1,7.4805,23.08,-29.136,0
-0.011207,3.3417,8.5628e-21,1.0995,1,7.5498,23.09,-29.068,0
-0.011078,3.3442,1.2584e-20,1.092,1,7.6191,23.1,-28.999,0
-0.010943,3.3468,1.7099e-20,1.0846,1,7.6883,23.11,-28.931,0
-0.010801,3.3494,2.2108e-20,1.0772,1,7.7576,23.12,-28.862,0
-0.01067,3.3518,2.0406e-20,1.0702,1,7.8269,23.13,-28.794,0
-0.010535,3.3542,1.7796e-20,1.0632,1,7.8961,23.14,-28.725,0
-0.010396,3.3566,1.4681e-20,1.0563,1,7.9654,23.15,-28.657,0
-0.010252,3.359,1.1063e-20,1.0493,1,8.0346,23.16,-28.588,0
-0.010104,3.3614,6.9422e-21,1.0424,1,8.1039,23.17,-28.519,0
-0.0099513,3.3638,2.3201e-21,1.0355,1,8.1732,23.18,-28.451,0
-0.0097921,3.3662,-4.5452e-21,1.0285,1,8.2424,23.19,-28.382,0
-0.0096009,3.3686,-8.2055e-21,1.0219,1,8.3117,23.2,-28.314,0
-0.0093962,3.371,-1.0005e-20,1.0152,1,8.381,23.21,-28.245,0
-0.0091863,3.3733,-1.1424e-20,1.0086,1,8.4502,23.22,-28.177,0
-0.0089714,3.3757,-1.2462e-20,1.002,1,8.5195,23.23,-28.108,0
-0.0087512,3.378,-1.312e-20,0.99541,1,8.5888,23.24,-28.04,0
-0.0085259,3.3804,-1.3398e-20,0.98881,1,8.658,23.25,-27.971,0
-0.0082954,3.3827,-1.3298e-20,0.98221,1,8.7273,23.26,-27.903,0
-0.0080573,3.385,-1.2876e-20,0.9757,1,8.7966,23.27,-27.834,0
-0.007813,3.3872,-1.2061e-20,0.96929,1,8.8658,23.28,-27.766,0
-0.0075656,3.3894,-1.0772e-20,0.96287,1,8.9351,23.29,-27.697,0
-0.0073152,3.3917,-9.01e-21,0.95644,1,9.0043,23.3,-27.628,0
-0.0070617,3.3939,-6.776e-21,0.95002,1,9.0736,23.31,-27.56,0
-0.0068052,3.3961,-4.0707e-21,0.94359,1,9.1429,23.32,-27.491,0
-0.0065456,3.3984,-8.9501e-22,0.93715,1,9.2121,23.33,-27.423,0
-0.0062679,3.4006,1.4967e-21,0.93073,1,9.2814,23.34,-27.354,0
-0.0059123,3.4028,-2.1101e-21,0.92433,1,9.3507,23.35,-27.286,0
-0.0055529,3.4049,-5.755e-21,0.91792,1,9.4199,23.36,-27.217,0
