# Wall heat-flux
# Time          	patch           	min             	max             	integral        
97              	wall	4.99690490e+02	4.09425786e+03	2.92609935e+00
98              	wall	4.98463014e+02	4.09425791e+03	2.92044495e+00
99              	wall	4.97246705e+02	4.09425795e+03	2.91487070e+00
100             	wall	4.96042772e+02	4.09425799e+03	2.90937431e+00
101             	wall	4.94849750e+02	4.09425805e+03	2.90395363e+00
102             	wall	4.93667906e+02	4.09425812e+03	2.89860667e+00
103             	wall	4.92495059e+02	4.09425817e+03	2.89333148e+00
104             	wall	4.91333070e+02	4.09425823e+03	2.88812625e+00
105             	wall	4.90180241e+02	4.09425829e+03	2.88298923e+00
106             	wall	4.89037107e+02	4.09425836e+03	2.87791877e+00
107             	wall	4.87901794e+02	4.09425843e+03	2.87291331e+00
108             	wall	4.86775892e+02	4.09425849e+03	2.86797133e+00
109             	wall	4.85656283e+02	4.09425856e+03	2.86309140e+00
110             	wall	4.84542959e+02	4.09425863e+03	2.85827217e+00
111             	wall	4.83438539e+02	4.09425871e+03	2.85351232e+00
112             	wall	4.82341342e+02	4.09425878e+03	2.84881062e+00
113             	wall	4.81228486e+02	4.09425886e+03	2.84416585e+00
114             	wall	4.80099457e+02	4.09425894e+03	2.83957690e+00
115             	wall	4.78978523e+02	4.09425901e+03	2.83504266e+00
116             	wall	4.77865475e+02	4.09425909e+03	2.83056209e+00
117             	wall	4.76760113e+02	4.09425917e+03	2.82613418e+00
118             	wall	4.75662255e+02	4.09425925e+03	2.82175798e+00
119             	wall	4.74571717e+02	4.09425933e+03	2.81743256e+00
120             	wall	4.73488334e+02	4.09425942e+03	2.81315702e+00
121             	wall	4.72411934e+02	4.09425950e+03	2.80893052e+00
122             	wall	4.71342354e+02	4.09425958e+03	2.80475222e+00
123             	wall	4.70279440e+02	4.09425967e+03	2.80062134e+00
124             	wall	4.69223041e+02	4.09425975e+03	2.79653712e+00
125             	wall	4.68173023e+02	4.09425983e+03	2.79249881e+00
126             	wall	4.67129216e+02	4.09425992e+03	2.78850571e+00
127             	wall	4.66091493e+02	4.09426000e+03	2.78455714e+00
128             	wall	4.65059737e+02	4.09426008e+03	2.78065244e+00
129             	wall	4.64033831e+02	4.09426017e+03	2.77679097e+00
130             	wall	4.63013647e+02	4.09426025e+03	2.77297213e+00
131             	wall	4.61999057e+02	4.09426033e+03	2.76919531e+00
132             	wall	4.60989966e+02	4.09426042e+03	2.76545995e+00
133             	wall	4.59986580e+02	4.09426050e+03	2.76176537e+00
134             	wall	4.58988069e+02	4.09426058e+03	2.75811116e+00
135             	wall	4.57994417e+02	4.09426062e+03	2.75449683e+00
136             	wall	4.57006110e+02	4.09426069e+03	2.75092187e+00
137             	wall	4.56023015e+02	4.09426078e+03	2.74738582e+00
138             	wall	4.55044737e+02	4.09426087e+03	2.74388822e+00
139             	wall	4.54071166e+02	4.09426095e+03	2.74042864e+00
140             	wall	4.53102371e+02	4.09426102e+03	2.73700659e+00
141             	wall	4.52138266e+02	4.09426111e+03	2.73362164e+00
142             	wall	4.51178699e+02	4.09426119e+03	2.73027335e+00
143             	wall	4.50223570e+02	4.09426127e+03	2.72696130e+00
144             	wall	4.49272826e+02	4.09426135e+03	2.72368509e+00
145             	wall	4.48326403e+02	4.09426143e+03	2.72044429e+00
